a,eɪ
greek,griːk
GREEN,ɡriːn
GREW,ɡruː
GRIDLOCK,ˈɡrɪdˌlɒk
Grief,gri:f
GRINDING,ˈɡraɪndɪŋ
grinned,grɪnd
GRIP,ɡrɪp
gripped,grɪpt
GROCER,ˈɡrəʊsə(r)
groin,grɔɪn
GROUND,ɡraʊnd
GROUP,ɡruːp
GROW,ɡrəʊ
GROWER,ˈɡrəʊə(r)
GROWING,ˈɡrəʊɪŋ
GROWN,ɡrəʊn
growth,groʊθ
gruel,@gruel
gruff,grʌf
grunt,grʌnt
GUARANTEE,ˌɡærənˈtiː
GUARANTEED,ˌɡeærənˈtiːd
GUARD,ɡɑː(r)d
guards,gɑ:dz
GUESS,ɡes
GUEST,ɡest
GUIDE,ɡaɪd
GUIDELINES,ˈɡaɪdˌlaɪnz
guilty,gɪlti
gulf,gʌlf
GUN,ɡʌn
gunpowder,gʌnpaʊdə(r)
gunsmith,@gunsmith
guts,ɡʌts
GUY,ɡaɪ
HABIT,ˈhæbɪt
HACKER,ˈhækə(r)
hackles,hækəlz
HAD,həd
hadnt,@hadnt
hair,heə
HAIRCUT,ˈheə(r)ˌkʌt
half,hɑːf
halifax,ˈhælɪˌfæks
hall,hɔ:l
HALT,hɔːlt
HALTING,ˈhɔːltɪŋ
HAMMERED,ˈhæmə(r)d
HAMPER,ˈhæmpə(r)
HAND,hænd
HANDICAPPED,ˈhændiˌkæpt
handkerchief,hæŋkə(r)tʃɪf
HANDLE,ˈhænd(ə)l
HANDLING,ˈhændlɪŋ
HANDOUT,ˈhændaʊt
hands,hændz
HANDSET,ˈhæn(d)ˌset
handsome,hænsəm
HANDWRITTEN,ˌhændˈrɪt(ə)n
HANG,hæŋ
HANGING,ˈhæŋɪŋ
HAPPEN,ˈhæpən
happened,hæpənd
HAPPENING,ˈhæp(ə)nɪŋ
happens,hæpənz
HARBOR,ˈhɑː(r)bə(r)
HARD,hɑː(r)d
harm,hɑː(r)m
HARMONIZE,ˈhɑː(r)mənaɪz
HAS,həz
hasn,hæzənt
hastily,heɪstɪlɪ
Hastur,@Hastur
hat,hæt
HATE,heɪt
haul,hɔːl
HAUNTING,ˈhɔːntɪŋ
HAVE,hæv
haven,hævənt
having,hævɪŋ
HAWK,hɔːk
he,hi:
HEAD,hed
HEADED,ˈhedɪd
HEADING,ˈhedɪŋ
HEADLINE,ˈhedˌlaɪn
HEADQUARTERS,hedˈkwɔː(r)tə(r)z
HEADWIND,ˈhedˌwɪnd
HEALTHY,ˈhelθi
hear,hɪə
HEARD,hɜː(r)d
HEARING,ˈhɪərɪŋ
heart,hɑ:t
HEARTEN,ˈhɑː(r)t(ə)n
HEATED,ˈhiːtɪd
HEATING,ˈhiːtɪŋ
heave,hiːv
Heaven,hevən
HEAVY,ˈhevi
HEAVYWEIGHT,ˈheviˌweɪt
HECTARE,ˈhekteə(r)
HECTOR,ˈhektə(r)
hed,@hed
HEDGE,hedʒ
HEDGING,ˈhedʒɪŋ
heed,hiːd
HEEL,hiːl
HEIGHTEN,ˈhaɪt(ə)n
heist,haɪst
HELD,held
HELICOPTER,ˈhelɪˌkɒptə(r)
Hello,hə'ləʊ
HELP,help
helped,helpt
HELPING,ˈhelpɪŋ
HEM,hem
her,hɜ:
HERD,hɜː(r)d
here,hɪə(r)
HERS,hɜː(r)z
herself,hɜ:'self
hes,@hes
hesitate,hezɪteɪt
HIATUS,haɪˈeɪtəs
HIDDEN,ˈhɪd(ə)n
hide,haɪd
hiding,haɪdɪŋ
HIGH,haɪ
HIGHER,ˈhaɪə(r)
HIGHLIGHT,ˈhaɪˌlaɪt
HIGHWAY,ˈhaɪˌweɪ
HIJACK,ˈhaɪdʒæk
HIJACKING,ˈhaɪˌdʒækɪŋ
HIKE,haɪk
HIKING,ˈhaɪkɪŋ
him,hɪm
himself,hɪm'self
HINDER,ˈhɪndə(r)
HINGE,hɪndʒ
hint,hɪnt
HIP,hɪp
HIRE,ˈhaɪə(r)
his,hɪz
hiss,hɪs
history,hɪstəri
HIT,hɪt
HOARDING,ˈhɔː(r)dɪŋ
HOBBLE,ˈhɒb(ə)l
HOLD,həʊld
HOLDER,ˈhəʊldə(r)
HOLDING,ˈhəʊldɪŋ
HOLDOUT,@HOLDOUT
HOLE,həʊl
HOLIDAY,ˈhɒlɪdeɪ
HOLY,ˈhəʊli
HOME,həʊm
homeland,hoʊmlænd
HOMELESS,ˈhəʊmləs
HOMEOWNER,ˈhəʊmˌəʊnə(r)
HONOR,ˈɒnə(r)
HOPE,həʊp
hoped,həʊpt
horrible,hɒrɪbəl
horribly,ˈhɒrɪblɪ
horrid,hɒrɪd
HORRIFIED,ˈhɒrɪfaɪd
horror,hɒrə
HORSE,hɔː(r)s
HOSPITAL,ˈhɒspɪt(ə)l
HOST,həʊst
HOT,hɒt
HOTEL,həʊˈtel
HOUR,ˈaʊə(r)
hours,aʊəz
HOUSE,haʊs
housebreaker,haʊsbreɪkə(r)
HOUSEHOLD,ˈhaʊsˌhəʊld
houseplant,ˈhaʊsˌplænt
HOUSING,ˈhaʊzɪŋ
HOVER,ˈhɒvə(r)
hovering,ˈhɒvərɪŋ
how,haʊ
however,haʊevə(r)
howling,ˈhaʊlɪŋ
huddle,@huddle
huddles,@huddles
huge,hju:dʒ
huh,hʌ
human,hjuːmən
humanity,hjuːmænɪti
hunch,@hunch
HUNDRED,ˈhʌndrəd
HUNG,hʌŋ
hungarian,hʌŋgeəriən
hunger,hʌŋgə
hungry,hʌŋgri
hunker,hʌŋkə(r)
hunt,hʌnt
HURDLE,ˈhɜː(r)d(ə)l
hurl,hɜː(r)l
HURRICANE,ˈhʌrɪkən
hurried,hʌrid
HURT,hɜː(r)t
husband,hʌzbənd
hush,hʌʃ
HYDRATE,ˈhaɪˌdreɪt
HYPERMARKET,ˈhaɪpə(r)ˌmɑː(r)kɪt
i,aɪ
Iadon,@Iadon
ichang,ˈiːˈtʃæŋ
ICING,ˈaɪsɪŋ
Id,@Id
IDEA,aɪˈdɪə
IDENTIFY,aɪˈdentɪfaɪ
idiot,ɪdiət
if,ɪf
IGNITE,ɪɡˈnaɪt
IGNORE,ɪɡˈnɔː(r)
Ill,ɪl
ILLEGAL,ɪˈliːɡ(ə)l
ILLNESS,ˈɪlnəs
I'm,@I'm
imagine,ɪmædʒɪn
imagined,ɪ'mædʒɪnd
IMBALANCE,ɪmˈbæləns
IMBUE,ɪmˈbjuː
IMITATOR,ˈɪmɪˌteɪtə(r)
immediate,ɪmiːdiət
immediately,ɪmiːdiətli
immense,ɪmens
IMMIGRANT,ˈɪmɪɡrənt
IMPACT,ˈɪmpækt
IMPACTED,ɪmˈpæktɪd
IMPAIRED,ɪmˈpeə(r)d
IMPAIRMENT,ɪmˈpeə(r)mənt
IMPEDE,ɪmˈpiːd
IMPERATIVE,ɪmˈperətɪv
imperious,ɪmpɪəriəs
IMPLEMENT,ˈɪmplɪˌment
IMPLICATION,ˌɪmplɪˈkeɪʃ(ə)n
implicit,ɪmplɪsɪt
IMPLIED,ɪmˈplaɪd
IMPLODE,ɪmˈpləʊd
IMPLY,ɪmˈplaɪ
IMPORT,ˈɪmpɔː(r)t
IMPORTER,ɪmˈpɔː(r)tə(r)
IMPOSE,ɪmˈpəʊz
IMPOSING,ɪmˈpəʊzɪŋ
impossible,ɪmpɒsɪbəl
IMPRESSED,ɪmˈprest
impropriety,ɪmprəpraɪɪti
IMPROVE,ɪmˈpruːv
IMPROVED,ɪmˈpruːvd
IMPROVEMENT,ɪmˈpruːvmənt
in,ɪn
INCENTIVE,ɪnˈsentɪv
INCH,ɪntʃ
INCLINED,ɪnˈklaɪnd
INCLUDE,ɪnˈkluːd
INCLUDED,ɪnˈkluːdɪd
INCLUDING,ɪnˈkluːdɪŋ
INCOME,ˈɪnkʌm
INCORPORATE,ɪnˈkɔː(r)pəreɪt
INCORPORATED,ɪnˈkɔː(r)pəˌreɪtɪd
INCREASE,ɪnˈkriːs
INCREASED,ɪnˈkriːst
incredible,ɪnkredɪbəl
INCUR,ɪnˈkɜː(r)
INDEX,ˈɪndeks
indian,ɪndiən
INDICATE,ˈɪndɪkeɪt
INDICATION,ˌɪndɪˈkeɪʃ(ə)n
INDICATOR,ˈɪndɪˌkeɪtə(r)
INDICES,ˈɪndɪsiːz
INDIVIDUAL,ˌɪndɪˈvɪdʒuəl
indolent,ɪndələnt
indoor,ɪndɔː(r)
INDUCE,ɪnˈdjuːs
indulge,ɪndʌldʒ
INDUSTRIAL,ɪnˈdʌstriəl
INDUSTRIALIZED,ɪnˈdʌstriəlaɪzd
INDUSTRY,ˈɪndəstri
INFLATED,ɪnˈfleɪtɪd
INFLICT,ɪnˈflɪkt
INFLOW,ˈɪnfləʊ
INFLUENCE,ˈɪnfluəns
inform,ɪnfɔː(r)m
INFORMED,ɪnˈfɔː(r)md
INFRACTION,ɪnˈfrækʃ(ə)n
INFRINGE,ɪnˈfrɪndʒ
INGENUE,ˈænʒənjuː
Ingress,@Ingress
INHERIT,ɪnˈherɪt
INHERITED,ɪnˈherɪtɪd
INITIAL,ɪˈnɪʃ(ə)l
initially,ɪnɪʃəli
INITIATE,ɪˈnɪʃieɪt
INITIATIVE,ɪˈnɪʃətɪv
INJECT,ɪnˈdʒekt
INJECTION,ɪnˈdʒekʃ(ə)n
INJURED,ˈɪndʒə(r)d
INJURY,ˈɪndʒəri
INNER,ˈɪnə(r)
INNOVATION,ˌɪnəʊˈveɪʃ(ə)n
INQUIRY,ɪnˈkwaɪəri
inside,ˌɪn'saɪd
INSIDER,ˌɪnˈsaɪdə(r)
INSIST,ɪnˈsɪst
INSPIRED,ɪnˈspaɪə(r)d
INSTALL,ɪnˈstɔːl
INSTALLATION,ˌɪnstəˈleɪʃ(ə)n
instantly,ˈɪnstəntlɪ
instead,ɪnsted
INSTITUTION,ˌɪnstɪˈtjuːʃ(ə)n
INSTRUCT,ɪnˈstrʌkt
INSTRUCTION,ɪnˈstrʌkʃ(ə)n
instructions,ɪn'strʌkʃənz
INSTRUMENT,ˈɪnstrʊmənt
insufferable,ɪnsʌfrəbəl
INSULATE,ˈɪnsjʊleɪt
INSULT,ˈɪnsʌlt
insurance,ɪnʃʊərəns
INSURE,ɪnˈʃʊə(r)
INSURED,ɪnˈʃʊə(r)d
INSURER,ɪnˈʃʊərə(r)
INTAKE,ˈɪnteɪk
INTEGRATE,ˈɪntɪˌɡreɪt
INTEGRATED,ˈɪntɪˌɡreɪtɪd
intelligence,ɪn'telɪdʒəns
intelligent,ɪntelɪdʒənt
INTEND,ɪnˈtend
INTENDED,ɪnˈtendɪd
INTENSIFY,ɪnˈtensɪfaɪ
INTENTION,ɪnˈtenʃ(ə)n
INTEREST,ˈɪntrəst
INTERESTED,ˈɪntrəstɪd
INTERESTING,ˈɪntrəstɪŋ
INTERFACE,ˈɪntə(r)ˌfeɪs
INTERLOCKING,ˌɪntə(r)ˈlɒkiŋ
INTERNATIONALIZE,ˌɪntə(r)ˈnæʃ(ə)nəlˌaɪz
INTERRUPT,ˌɪntəˈrʌpt
INTERTWINE,ˌɪntə(r)ˈtwaɪn
INTERVENE,ˌɪntə(r)ˈviːn
INTERVENING,ˌɪntə(r)ˈviːnɪŋ
INTERVENTION,ˌɪntə(r)ˈvenʃ(ə)n
INTERVIEW,ˈɪntə(r)ˌvjuː
INTIMIDATING,ɪnˈtɪmɪˌdeɪtɪŋ
into,ɪntu:
INTRODUCE,ˌɪntrəˈdjuːs
INTROVERTED,ˈɪntrəʊˌvɜː(r)tɪd
INVENTORY,ˈɪnvəntəri
INVERT,ˌɪnˈvɜː(r)t
INVEST,ɪnˈvest
INVESTIGATE,ɪnˈvestɪɡeɪt
INVESTIGATION,ɪnˌvestɪˈɡeɪʃ(ə)n
INVESTIGATOR,ɪnˈvestɪˌɡeɪtə(r)
INVESTMENT,ɪnˈves(t)mənt
INVESTOR,ɪnˈvestə(r)
INVITE,ɪnˈvaɪt
INVOICE,ˈɪnvɔɪs
invoke,ɪnvoʊk
INVOLVE,ɪnˈvɒlv
INVOLVED,ɪnˈvɒlvd
IOU,ˌaɪ əʊ ˈjuː
-ious,iəs
IPO,ˌaɪ piː ˈəʊ
iranian,ɪreɪniən
IRON,ˈaɪə(r)n
IRREGULARITY,ɪˌreɡjʊˈlærəti
irritable,ɪrɪtəbəl
IS,ɪz
isn,ɪzənt
ISSUE,ˈɪʃuː
ISSUER,@ISSUER
istanbul,ˌɪstænˈbuːl
it,ɪt
ITALIAN,ɪˈtæliən
ITEM,ˈaɪtəm
ITS,ɪts
Ive,@Ive
JAIL,dʒeɪl
JAM,dʒæm
japanese,dʒæpəniːz
jar,dʒɑː(r)
jealous,dʒeləs
JEOPARDIZE,ˈdʒepə(r)daɪz
Jesper,Jesper
jess,dʒɛs
Jessica,dʒesɪkə
JET,dʒet
JETTISON,ˈdʒetɪs(ə)n
JEW,dʒuː
JOBLESS,ˈdʒɒbləs
JOGGING,ˈdʒɒɡɪŋ
John,dʒɒn
JOIN,dʒɔɪn
JOKE,dʒəʊk
JOSTLE,ˈdʒɒs(ə)l
JOURNAL,ˈdʒɜː(r)n(ə)l
JOURNALIST,ˈdʒɜː(r)nəlɪst
journey,dʒɜː(r)ni
JUDGE,dʒʌdʒ
JUMP,dʒʌmp
JURISDICTION,ˌdʒʊərɪsˈdɪkʃ(ə)n
just,dʒʌst
justice,dʒʌstɪs
JUSTIFIED,ˈdʒʌstɪfaɪd
Kaz,@Kaz
Kazs,@Kazs
keen,kiːn
KEEP,kiːp
KEEPING,ˈkiːpɪŋ
KEPT,kept
Ketol,@Ketol
Ketterdam,@Ketterdam
KEY,kiː
KICK,kɪk
kicking,ˈkɪkɪn
KID,kɪd
kidder,ˈkɪdə
KILL,kɪl
KILLING,ˈkɪlɪŋ
KILOMETER,ˈkɪləˌmiːtə(r)
KIND,kaɪnd
King,kɪŋ
kingdom,kɪŋdəm
kings,kɪŋz
kiss,kɪs
kitchen,kɪtʃɪn
KNEE,niː
kneel,niːl
knees,ni:z
KNEW,njuː
KNIGHTHOOD,ˈnaɪthʊd
knit,nɪt
knock,nɒk
KNOW,nəʊ
KNOWN,nəʊn
KRONE,@KRONE
Kuwei,@Kuwei
LAB,læb
LABELED,ˈleɪb(ə)ld
LACK,læk
lacking,lakɪŋ
ladle,leɪdəl
lady,leɪdɪ
LAG,læɡ
LAGGARD,ˈlæɡə(r)d
LAGGING,ˈlæɡɪŋ
LAID,leɪd
LAMP,læmp
LAMPOON,læmˈpuːn
land,lænd
LANDED,ˈlændɪd
LANDING,ˈlændɪŋ
LANDLORD,ˈlæn(d)ˌlɔː(r)d
LANE,leɪn
Lantsov,@Lantsov
LAP,læp
LAPSE,læps
LARGE,lɑː(r)dʒ
laserdisc,ˈleɪzəˌdɪsk
LASH,læʃ
lashed,læʃʃt
LAST,lɑːst
LASTING,ˈlɑːstɪŋ
late,leɪt
LATER,ˈleɪtə(r)
LATEST,ˈleɪtɪst
LAUD,lɔːd
laugh,lɑ:f
laughed,lɑ:ft
laughing,ˈlæfɪŋ
laughter,lɑ:ftə
LAUNCH,lɔːntʃ
LAUNDER,ˈlɔːndə(r)
LAW,lɔː
LAWMAKER,ˈlɔːˌmeɪkə(r)
LAWSUIT,ˈlɔːˌsuːt
LAWYER,ˈlɔːjə(r)
LAY,leɪ
LAYER,ˈleɪə(r)
LAYOFF,@LAYOFF
lazy,leɪzi
le clos,lə
LEAD,liːd
LEADER,ˈliːdə(r)
LEADING,ˈliːdɪŋ
LEAK,liːk
LEAN,liːn
leaned,li:nd
LEANING,ˈliːnɪŋ
LEARNED,ˈlɜː(r)nɪd
LEARNING,ˈlɜː(r)nɪŋ
LEASE,liːs
LEAST,liːst
leather,leðə(r)
LEAVE,liːv
LEAVES,liːvz
LED,ˌel iː ˈdiː
LEDGER,ˈledʒə(r)
leech,liːtʃ
LEFT,left
LEFTIST,ˈleftɪst
leg,leg
legal,liːgəl
LEGALITY,lɪˈɡæləti
Legend,ledʒənd
legion,liːdʒən
LEGISLATOR,ˈledʒɪˌsleɪtə(r)
LEGS,leɡz
LEND,lend
LENDER,ˈlendə(r)
length,leŋθ
LENT,lent
LENTIL,ˈlentɪl
LESS,les
LESSER,ˈlesə(r)
LESSON,ˈles(ə)n
LET,let
lets,lets
LETTER,ˈletə(r)
letting,ˈlɛtɪŋ
LEVEL,ˈlev(ə)l
LEVELING,ˈlev(ə)lɪŋ
LEVER,ˈliːvə(r)
LEVERAGE,ˈliːvərɪdʒ
LEVY,ˈlevi
LIABILITY,ˌlaɪəˈbɪləti
liar,laɪə(r)
library,laɪbrəri
licence,laɪsəns
LICENSE,ˈlaɪs(ə)ns
LICENSED,ˈlaɪs(ə)nst
licensing,ˈlaɪsənsɪŋ
lie,laɪ
life,laɪf
lifeline,laɪflaɪn
LIFESTYLE,ˈlaɪfˌstaɪl
lifetime,laɪftaɪm
LIFT,lɪft
lifted,lɪftɪd
light,laɪt
LIGHTER,ˈlaɪtə(r)
LIKE,laɪk
liked,laɪkt
likely,laɪkli
LIKEN,ˈlaɪkən
likes,laɪks
Limbkins,@Limbkins
LIMIT,ˈlɪmɪt
LIMITED,ˈlɪmɪtɪd
LIMITING,ˈlɪmɪtɪŋ
limits,ˈlɪmɪtz
limp,lɪmp
LINE,laɪn
LINED,laɪnd
lines,laɪnz
LINEUP,laɪnʌp
LINGER,ˈlɪŋɡə(r)
LINGERING,ˈlɪŋɡərɪŋ
LINK,lɪŋk
LINKS,lɪŋks
lip,lɪp
liquefied,ˈlɪkwɪfaɪd
LIQUEFY,ˈlɪkwɪfaɪ
LIQUIDATE,ˈlɪkwɪdeɪt
LIQUIDATOR,ˈlɪkwɪˌdeɪtə(r)
liquidity,lɪkwɪdɪti
LIST,lɪst
listed,lɪstɪd
Listen,lɪsən
LISTING,ˈlɪstɪŋ
lit,lɪt
LITER,ˈliːtə(r)
LITIGANT,ˈlɪtɪɡənt
little,lɪtəl
LIVE,lɪv
lived,lɪvd
-lived,-lɪvdlaɪvd
LIVES,laɪvz
LIVING,ˈlɪvɪŋ
load,loʊd
loaf,ləʊf
LOAN,ləʊn
LOBBY,ˈlɒbi
lobbying,ˈlɒbɪɪŋ
LOCAL,ˈləʊk(ə)l
LOCATE,ləʊˈkeɪt
LOCATED,ləʊˈkeɪtɪd
LOCATION,ləʊˈkeɪʃ(ə)n
LOCK,lɒk
locked,lɒkt
locking,ˈlɒkɪŋ
locks,lɒks
LODGING,ˈlɒdʒɪŋ
LOG,lɒɡ
logistic,lədʒɪstɪk
LOGISTICS,ləˈdʒɪstɪks
London,lʌndən
lonely,loʊnli
LONG,lɒŋ
long drawn out,lɒŋ
longer,lɒŋgə
long-term,lɒŋ
LOOK,lʊk
looked,lʊkt
looking,lʊkɪŋ
-looking,ˈlʊkɪŋ
looks,lʊkz
LOOM,luːm
LOOSE,luːs
LOOSEN,ˈluːs(ə)n
loosening,ˈluːsənɪŋ
LOP,lɒp
Lord,lɔ:d
lordship,lɔː(r)dʃɪp
LOSE,luːz
losing,ˈluːzɪŋ
LOSS,lɒs
losses,ˈlɒsɪzlɔsɪzlɔsɪz
LOST,lɒst
LOT,lɒt
lots,lɒts
LOTTERY,ˈlɒtəri
loudly,laʊdlɪ
lounge,laʊndʒ
lour,laʊə
LOVE,lʌv
-loved,-lʌvd
lovely,lʌvli
lover,lʌvə(r)
LOW,ləʊ
LOWER,ˈləʊə(r)
lowering,ˈlaʊərɪŋ
Luchenko,@Luchenko
luggage,lʌgɪdʒ
lump,lʌmp
lungs,lʌŋz
LURE,ljʊə(r)
lustrous,lʌstrəs
lusty,lʌsti
luxurious,lʌgʒʊəriəs
lying,laɪɪŋ
MACHINE,məˈʃiːn
macro,mækroʊ
macroeconomics,mækroʊiːkənɒmɪks
MADE,meɪd
madness,ˈmædnɪs
magazine,mægəziːn
MAGNIFY,ˈmæɡnɪfaɪ
main,meɪn
MAINFRAME,ˈmeɪnˌfreɪm
MAINTAIN,meɪnˈteɪn
MAJOR,ˈmeɪdʒə(r)
MAKE,meɪk
MAKER,ˈmeɪkə(r)
MAKING,ˈmeɪkɪŋ
MALAYSIAN,məˈleɪziən
MALFUNCTION,mælˈfʌŋkʃ(ə)n
MALL,mɔːl
man,mæn
MANAGE,ˈmænɪdʒ
MANAGED,ˈmænɪdʒd
MANAGER,ˈmænɪdʒə(r)
MANDATE,ˈmændeɪt
MANDATED,mænˈdeɪtɪd
mane,meɪn
MANEUVER,məˈnuːvə(r)
man-hour,ˈmænˌaʊr
MANIPULATE,məˈnɪpjʊleɪt
manner,mænə(r)
manners,ˈmænəz
mans,mænz
manual,mænjuəl
MANUFACTURER,ˌmænjʊˈfæktʃərə(r)
MANUFACTURING,ˌmænjʊˈfæktʃərɪŋ
many,meni
MAP,mæp
MAR,mɑː(r)
marble,mɑː(r)bəl
MARCH,mɑː(r)tʃ
MARGIN,ˈmɑː(r)dʒɪn
MARGINALIZE,ˈmɑː(r)dʒɪnəlaɪz
MARINE,məˈriːn
mark,mɑː(r)k
MARKED,mɑː(r)kt
MARKET,ˈmɑː(r)kɪt
MARKETER,ˈmɑː(r)kɪtə(r)
MARKETING,ˈmɑː(r)kɪtɪŋ
MARKING,ˈmɑː(r)kɪŋ
marriage,mærɪdʒ
MARRIED,ˈmærid
marry,mæri
MARSHMALLOW,ˌmɑː(r)ʃˈmæləʊ
mascara,mæskɑːrə
MASKED,mɑːskt
master,mɑ:stə
masters,ˈmɑːstəz
MATCH,mætʃ
MATCHING,ˈmætʃɪŋ
MATERIAL,məˈtɪəriəl
materialize,mətɪəriəlaɪz
materially,məˈtɪərɪəlɪ
matte,mæt
matted,mætɪd
MATTER,ˈmætə(r)
matters,ˈmætəz
Matthias,@Matthias
MATURE,məˈtʃʊə(r)
MATURITY,məˈtʃʊərəti
mausoleum,mɔːzəliːəm
MAXIMIZE,ˈmæksɪmaɪz
MAY,meɪ
maybe,meɪbi:
MBA,ˌem biː ˈeɪ
me,mi:
MEAL,miːl
mealtime,miːltaɪm
MEANING,ˈmiːnɪŋ
MEANS,miːnz
MEANT,ment
meanwhile,miːnhwaɪl
MEASURE,ˈmeʒə(r)
MEASURED,ˈmeʒə(r)d
MECHANISM,ˈmekəˌnɪz(ə)m
MEDAL,ˈmed(ə)l
MEDDLE,ˈmed(ə)l
MEDICINE,ˈmed(ə)s(ə)n
MEET,miːt
MEETING,ˈmiːtɪŋ
MEGAWATT,ˈmeɡəˌwɒt
Melanie,meləni:
MEMBER,ˈmembə(r)
MEMO,ˈmeməʊ
memory,meməri
MEN,men
MENTION,ˈmenʃ(ə)n
MERCHANDISE,ˈmɜː(r)tʃ(ə)ndaɪz
MERCHANT,ˈmɜː(r)tʃ(ə)nt
merciful,mɜː(r)sɪfʊl
mercy,mɜ:sɪ
MERGE,mɜː(r)dʒ
MERGER,ˈmɜː(r)dʒə(r)
MESH,meʃ
mess,mes
MESSAGE,ˈmesɪdʒ
messuage,ˈmɛswɪdʒ
MET,met
METAL,ˈmet(ə)l
METER,ˈmiːtə(r)
METHOD,ˈmeθəd
METHODOLOGY,ˌmeθəˈdɒlədʒi
METRICS,ˈmetrɪks
MICE,maɪs
middle,mɪdəl
MIDDLEMAN,ˈmɪd(ə)lˌmæn
midst,mɪdst
MIGHT,maɪt
MIGRANT,ˈmaɪɡrənt
MIGRATE,maɪˈɡreɪt
MILE,maɪl
miles,maɪlz
MILITANT,ˈmɪlɪtənt
MILITARY,ˈmɪlɪt(ə)ri
milk,mɪlk
MILL,mɪl
MILLION,ˈmɪljən
MILLIONAIRE,ˌmɪljəˈneə(r)
MIND,maɪnd
MINE,maɪn
MINER,ˈmaɪnə(r)
MINERAL,ˈmɪn(ə)rəl
mingle,mɪŋgəl
miniature,mɪnɪtʃə(r)
MINIMIZE,ˈmɪnɪmaɪz
MINING,ˈmaɪnɪŋ
MINISTER,ˈmɪnɪstə(r)
MINISTRY,ˈmɪnɪstri
MINORITY,maɪˈnɒrəti
MINUTE,ˈmɪnɪt
minutes,ˈmɪnɪts
miracles,mɪrəkəls
MIRED,maɪə(r)d
MIRROR,ˈmɪrə(r)
MIRRORED,ˈmɪrə(r)d
misery,mɪzəri
MISFORTUNE,mɪsˈfɔː(r)tʃ(ə)n
MISGIVING,ˌmɪsˈɡɪvɪŋ
MISGUIDED,mɪsˈɡaɪdɪd
MISHANDLE,mɪsˈhænd(ə)l
MISJUDGE,mɪsˈdʒʌdʒ
MISLEADING,mɪsˈliːdɪŋ
MISPLACED,ˌmɪsˈpleɪst
MISREPRESENT,ˌmɪsreprɪˈzent
MISS,mɪs
MISSING,ˈmɪsɪŋ
MISSTATE,@MISSTATE
MISSTEP,mɪsˈstep
MISTAKE,mɪˈsteɪk
mister,mɪstə
misty,mɪsti
MIXED,mɪkst
mob,mɒb
mobile,moʊbaɪl
MOBILIZE,ˈməʊbəlaɪz
MOCK,mɒk
MODALITY,məʊˈdæləti
MODEL,ˈmɒd(ə)l
MODELED,ˈmɒd(ə)ld
MODEM,ˈməʊdem
MODERATE,ˈmɒd(ə)rət
MODEST,ˈmɒdɪst
MODIFY,ˈmɒdɪfaɪ
mold,moʊld
moment,məʊmənt
momentary,moʊməntəri
monarch,@monarch
monastery,mɒnəstri
money,mʌnɪ
MONIES,ˈmʌniz
MONITOR,ˈmɒnɪtə(r)
MONOLITH,ˈmɒnəlɪθ
MONSTROSITY,mɒnˈstrɒsəti
MONTH,mʌnθ
months,mʌnθs
MOOD,muːd
MORE,mɔː(r)
moria,ˈmɔːrɪə
MORNING,ˈmɔː(r)nɪŋ
mornings,ˈmɔːnɪŋz
mortal,mɔː(r)təl
MORTGAGE,ˈmɔː(r)ɡɪdʒ
MOST,məʊst
MOTHER,ˈmʌðə(r)
mothers,mʌðəz
MOTIVATE,ˈməʊtɪveɪt
MOTIVATED,ˈməʊtɪˌveɪtɪd
MOTORING,ˈməʊtərɪŋ
MOTORIST,ˈməʊtərɪst
MOTORIZED,ˈməʊtəraɪzd
MOUND,maʊnd
mountain,maʊntɪn
MOUNTED,ˈmaʊntɪd
MOUNTING,ˈmaʊntɪŋ
mournful,mɔː(r)nfʊl
MOURNING,ˈmɔː(r)nɪŋ
mouth,maʊð
MOVE,muːv
moved,mu:vd
MOVEMENT,ˈmuːvmənt
MOVING,ˈmuːvɪŋ
Mr,mɪstə
much,mʌtʃ
mud,mʌd
muddy,@muddy
MUFFLE,ˈmʌf(ə)l
mule,mjuːl
MULL,mʌl
MULTIPLE,ˈmʌltɪp(ə)l
MULTIPLY,ˈmʌltɪplaɪ
MUNICIPALITY,mjuːˌnɪsɪˈpæləti
murderer,mɜː(r)dərəʳ
MUSCLE,ˈmʌs(ə)l
music,mjuːzɪk
MUSLIM,ˈmʊzləm
must,mʌst
MUSTER,ˈmʌstə(r)
MUTED,ˈmjuːtɪd
mutter,mʌtə(r)
muttered,mʌtəd
my,maɪ
myself,maɪ'self
MYSTERY,ˈmɪst(ə)ri
MYTHOLOGIZE,mɪˈθɒləˌdʒaɪz
NAG,næɡ
NAGGING,ˈnæɡɪŋ
NAIL,neɪl
NAME,neɪm
named,neɪmd
NARROW,ˈnærəʊ
NATION,ˈneɪʃ(ə)n
NATIONAL,ˈnæʃ(ə)nəl
NATIONALIZE,ˈnæʃ(ə)nəlaɪz
NEAR,nɪə(r)
nearer,ˈnɪrər
nearly,nɪəlɪ
NEB,@NEB
necessarily,nesɪserɪli
necessary,nesɪsəri
neck,nek
NEED,niːd
needed,ni:dɪd
NEGOTIATE,nɪˈɡəʊʃieɪt
NEGOTIATION,nɪˌɡəʊʃiˈeɪʃ(ə)n
NEGOTIATOR,@NEGOTIATOR
NEIGHBOR,ˈneɪbə(r)
NEIGHBORING,ˈneɪbərɪŋ
neighbour,neɪbə(r)
